=== call #2 ===
timestamp_utc: 2026-05-20T03:14:42Z
body: {"scope":"whole-book","userMessage":"TCP/IP の主な層は？"}
data: {"type":"delta","text":"インタ"}

data: {"type":"delta","text":"ーネ"}

data: {"type":"delta","text":"ット"}

data: {"type":"delta","text":"層"}

data: {"type":"delta","text":"**"}

data: {"type":"delta","text":"："}

data: {"type":"delta","text":"IP"}

data: {"type":"delta","text":"アド"}

data: {"type":"delta","text":"レス"}

data: {"type":"delta","text":"を使って"}

data: {"type":"delta","text":"、"}

data: {"type":"delta","text":"データ"}

data: {"type":"delta","text":"を"}

data: {"type":"delta","text":"宛"}

data: {"type":"delta","text":"先"}

data: {"type":"delta","text":"まで"}

data: {"type":"delta","text":"届"}

data: {"type":"delta","text":"ける"}

data: {"type":"delta","text":"経"}

data: {"type":"delta","text":"路"}

data: {"type":"delta","text":"選択"}

data: {"type":"delta","text":"（"}

data: {"type":"delta","text":"ル"}

data: {"type":"delta","text":"ーティ"}

data: {"type":"delta","text":"ング"}

data: {"type":"delta","text":"）"}

data: {"type":"delta","text":"を行"}

data: {"type":"delta","text":"います"}

data: {"type":"delta","text":"。\n"}

data: {"type":"delta","text":"4"}

data: {"type":"delta","text":"."}

data: {"type":"delta","text":" **"}

data: {"type":"delta","text":"ネット"}

data: {"type":"delta","text":"ワーク"}

data: {"type":"delta","text":"インタ"}

data: {"type":"delta","text":"フェ"}

data: {"type":"delta","text":"ース"}

data: {"type":"delta","text":"層"}

data: {"type":"delta","text":"**"}

data: {"type":"delta","text":"："}

data: {"type":"delta","text":"イ"}

data: {"type":"delta","text":"ー"}

data: {"type":"delta","text":"サ"}

data: {"type":"delta","text":"ネット"}

data: {"type":"delta","text":"など"}

data: {"type":"delta","text":"、"}

data: {"type":"delta","text":"実際"}

data: {"type":"delta","text":"の"}

data: {"type":"delta","text":"物理"}

data: {"type":"delta","text":"的な"}

data: {"type":"delta","text":"通信"}

data: {"type":"delta","text":"媒体"}

data: {"type":"delta","text":"との"}

data: {"type":"delta","text":"やり"}

data: {"type":"delta","text":"取り"}

data: {"type":"delta","text":"を"}

data: {"type":"delta","text":"担当"}

data: {"type":"delta","text":"します"}

data: {"type":"delta","text":"。"}

data: {"type":"usage","provider":"deepseek","cacheCreationInputTokens":null,"cacheReadInputTokens":92800,"cacheMissInputTokens":15,"inputTokens":92815,"outputTokens":143,"totalTokens":92958}

data: [DONE]


--- end SSE stream ---
wall_seconds: 4
